Property Type,Region,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Ppsf,Median List Price,Median Sale Ppsf,Median Sale Price,months_of_supply,New Listings,off_market_in_two_weeks,pending_sales,Period Begin,Period Duration,Period End,Price Drops,Sold Above List
All Residential,"Chicago, IL - South Shore",0.90553005,64,225,63,31.77272727,44900,25.43924575,$36K,,142,0.1875,104,1/1/2012,90,3/31/2012,,0.203125
All Residential,"Chicago, IL - Stony Island Park",0.90515873,3,16,86,44.51531283,132499.5,26.25,$32K,,11,0,8,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Fuller Park",0.919338398,5,16,71,42.3510773,77450,10.15998218,$23K,,12,0.2,4,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Magnolia Glen",0.934967264,5,16,55,105.0467976,147500,119.3333333,$224K,,14,0,10,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Roscoe Village",0.954813052,16,53,121,261.7619048,429950,195.4645789,$333K,,58,0.0625,40,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - LeClaire Courts",0.936761229,2,7,136.5,60.74766355,65000,66.51850134,$69K,,7,0,7,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Brickyard",0.950531499,12,29,71,100.72,119700,89.6,$123K,,19,0.166666667,13,1/1/2012,90,3/31/2012,,0.166666667
All Residential,"Chicago, IL - Homan Square",1.005380719,5,16,84,24.17245843,35750,23.15384615,$45K,,12,0,8,1/1/2012,90,3/31/2012,,0.6
All Residential,"Chicago, IL - Kelvyn Park",0.980027638,4,21,49,69.81617647,154500,88.48887791,$208K,,13,0,12,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Ranch Triangle",0.969536636,8,46,116,298.3870968,584000,287.3452611,$461K,,38,0.125,16,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - West DePaul",0.924877721,10,22,103,285.9895105,599000,391.8650794,$698K,,23,0.1,20,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - West Elsdon",0.943579448,33,78,92,109.9473684,128950,91.12149533,$107K,,54,0.181818182,57,1/1/2012,90,3/31/2012,,0.151515152
All Residential,"Chicago, IL - East Humboldt Park",0.927465611,34,97,137,135.9926471,254974.5,99.2020703,$140K,,76,0.117647059,70,1/1/2012,90,3/31/2012,,0.114285714
All Residential,"Chicago, IL - Marquette Park",0.961916302,63,163,76.5,51.88417539,76950,43.12517265,$50K,,114,0.126984127,93,1/1/2012,90,3/31/2012,,0.365079365
All Residential,"Chicago, IL - Near North Side",0.951776481,419,1084,124.5,305.5555556,375000,273.5112028,$290K,,845,0.140811456,665,1/1/2012,90,3/31/2012,,0.176610979
All Residential,"Chicago, IL - Pullman",0.919736047,4,47,85,39.68253968,39500,53.30271383,$64K,,19,0,12,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Boystown",0.944049725,10,24,174,265.0157629,359950,260.7142857,$253K,,30,0.1,22,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - DePaul",0.954453422,15,69,137,358.3037613,549000,276.5766616,$775K,,59,0.066666667,35,1/1/2012,90,3/31/2012,,0.066666667
All Residential,"Chicago, IL - Hamlin Park",0.961335584,18,65,204.5,243.7310606,375000,190.7722727,$320K,,65,0.166666667,51,1/1/2012,90,3/31/2012,,0.111111111
All Residential,"Chicago, IL - Chrysler Village",0.961990517,4,13,97.5,63.46820809,58700,144.4440727,$110K,,8,0,7,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Kennedy Park",0.948590914,5,14,72,136.6120377,181950,154.2344363,$183K,,8,0,7,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Brighton Park",0.990231222,38,99,33.5,59.83502851,99900,62.19630709,$83K,,75,0.263157895,66,1/1/2012,90,3/31/2012,,0.289473684
All Residential,"Chicago, IL - Back of the Yards",0.956111804,64,180,53,22.88251366,45000,14.52702703,$28K,,110,0.171875,82,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Edgebrook",0.973010748,5,27,96,262.5310174,499000,247.2527473,$415K,,19,0.4,10,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - East Chatham",0.910221556,6,19,163.5,26.3033533,42400,23.54570637,$36K,,13,0,12,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - West Beverly",0.923544829,9,15,76,144.5,192000,148.3333333,$159K,,14,0.111111111,13,1/1/2012,90,3/31/2012,,0.111111111
All Residential,"Chicago, IL - Oriole Park",0.932814605,9,25,21,198.6401674,244500,173.074269,$245K,,20,0.222222222,14,1/1/2012,90,3/31/2012,,0.111111111
All Residential,"Chicago, IL - Big Oaks",0.945103029,8,25,68.5,160.8205953,199900,138.867339,$205K,,22,0.25,21,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - Wrightwood",0.983730449,19,74,175,304.4230769,499000,302.8324154,$415K,,53,0.157894737,37,1/1/2012,90,3/31/2012,,0.105263158
All Residential,"Chicago, IL - Irving Park",0.958027838,86,227,95,132.9522193,195500,97.36177771,$165K,,190,0.174418605,185,1/1/2012,90,3/31/2012,,0.279069767
All Residential,"Chicago, IL - Austin",0.96077166,106,296,58.5,47.30062274,79900,38.70673953,$64K,,233,0.226415094,194,1/1/2012,90,3/31/2012,,0.235849057
All Residential,"Chicago, IL - Near South Side",0.974991627,104,241,106.5,245.5984848,295000,218.875,$253K,,203,0.086538462,203,1/1/2012,90,3/31/2012,,0.317307692
All Residential,"Chicago, IL - Lathrop",0.954438038,31,108,131.5,260.9880952,500000,223.0814991,$439K,,97,0.225806452,67,1/1/2012,90,3/31/2012,,0.096774194
All Residential,"Chicago, IL - Garfield Ridge",0.94481611,78,142,95,129.4270833,149900,119.4742018,$135K,,113,0.256410256,115,1/1/2012,90,3/31/2012,,0.153846154
All Residential,"Chicago, IL - Old Hegewisch",0.786120059,6,32,177.5,80.86231635,128400,32.66239316,$37K,,18,0,9,1/1/2012,90,3/31/2012,,0.166666667
All Residential,"Chicago, IL - Norwood Park West",0.899002844,8,34,311,173.3502032,257820,169.6428571,$211K,,27,0,16,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Irving Woods",0.933893472,8,21,70,135.006435,165000,138.4420985,$173K,,15,0.25,18,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Gladstone Park",0.853056405,2,3,186.5,132.3434474,178500,103.1529161,$126K,,4,0,5,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Woodlawn Ridge",0.822096306,6,16,143.5,48.33333333,78750,24.71169687,$51K,,10,0,10,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Marshall Square",0.907248691,10,21,96,28.81586362,59450,24.89532438,$53K,,18,0.1,21,1/1/2012,90,3/31/2012,,0.1
All Residential,"Chicago, IL - Grand Crossing",0.884675874,23,66,41.5,27.48459016,34900,14.76373626,$22K,,45,0.217391304,34,1/1/2012,90,3/31/2012,,0.173913043
All Residential,"Chicago, IL - Budlong Woods",0.938376885,21,32,96,136.1513688,119950,91.7948718,$110K,,36,0.285714286,35,1/1/2012,90,3/31/2012,,0.142857143
All Residential,"Chicago, IL - Washington Park",0.941288768,20,56,90,31.26666667,49900,20.1,$33K,,42,0.1,38,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Andersonville",0.947823187,40,84,135,218.0339103,326950,169.2307692,$262K,,66,0.075,41,1/1/2012,90,3/31/2012,,0.075
All Residential,"Chicago, IL - Old Irving Park",0.950155965,25,75,131.5,140.0180921,239500,124.9375,$190K,,61,0.16,56,1/1/2012,90,3/31/2012,,0.16
All Residential,"Chicago, IL - Jeffrey Manor",0.866538426,8,17,71.5,21.56826188,19900,26.06135154,$24K,,17,0,16,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - West Chatham",0.935122634,9,12,52,71.66666667,104900,59,$59K,,9,0,16,1/1/2012,90,3/31/2012,,0.111111111
All Residential,"Chicago, IL - West Woodlawn",0.97916799,22,49,25.5,18.46965699,40000,13,$18K,,25,0.363636364,29,1/1/2012,90,3/31/2012,,0.181818182
All Residential,"Chicago, IL - North Park",0.91123969,23,55,114,142.5069444,225000,133.3907057,$164K,,37,0.043478261,38,1/1/2012,90,3/31/2012,,0.130434783
All Residential,"Chicago, IL - West Side",0.957351039,780,1894,90,102.2186147,189900,81.78438662,$150K,,1570,0.162820513,1341,1/1/2012,90,3/31/2012,,0.217669654
All Residential,"Chicago, IL - Old Town",0.931684694,69,196,121,268.125,369000,241.9832736,$315K,,163,0.130434783,135,1/1/2012,90,3/31/2012,,0.057971014
All Residential,"Chicago, IL - Wrigleyville",0.962537625,9,35,92.5,246.984127,399900,198.125,$317K,,29,0.222222222,20,1/1/2012,90,3/31/2012,,0.111111111
All Residential,"Chicago, IL - Tri-Taylor",0.875969865,12,29,101,72,87450,64.28658093,$78K,,20,0.083333333,24,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Mount Greenwood",0.993250996,25,50,47,158.1696429,192450,143.1451613,$156K,,36,0.36,31,1/1/2012,90,3/31/2012,,0.2
All Residential,"Chicago, IL - Bronzeville",0.985117629,88,217,58,53.44331522,80000,40.6360424,$54K,,151,0.227272727,165,1/1/2012,90,3/31/2012,,0.295454545
